id,square,fold
eb07e3f63ad2,14.73263164754953,0
f8b6f4c39204,15.340483250782064,1
08a646be6b30,16.722334462982275,2
79a7691a90b1,16.745185414494266,3
28d9a149cb02,17.121350364963504,4
2335eef27de6,17.128193430656935,0
3a7a8f03e713,17.148926290406674,1
b44091aa62e4,17.40737421793535,2
eeb7eeca738e,17.530264272679872,3
3c6acfceb552,17.64011991657977,4
2faf504842df,17.64073090458811,0
6bff9e10288e,17.806838177789363,1
430f0cb5666c,17.879382820646505,2
fa006be8b6d9,17.89921956465068,3
bf9932f7aca8,18.03840263295099,4
4b74275babf7,18.05457344890511,0
4df1536de792,18.059665015641293,1
c9f382c7349e,18.152779588112615,2
0495dcf27283,18.17249413451512,3
3f8d611822bc,18.19310479666319,4
fce0ba5b8ed7,18.22328760427529,0
2ea62c1beee7,18.362063347236703,1
120c1dc7b116,18.366543925964546,2
47ea8f25c948,18.44980122523462,3
3b45f83ba3fa,18.513832768508863,4
bf9a32258ef4,18.636111835245046,0
898339fab87a,18.66022549530761,1
7abaa38c227f,18.675418730448385,2
c53e374fdd72,18.719572797184565,3
e05b96cc2b0d,18.72327945776851,4
16f0ec26d608,18.80983609228363,0
3c16409ab9db,18.860792492179353,1
9cc257b449d0,18.87969238790407,2
48b3f0c936b5,19.157243873826904,3
e8f607100c1f,19.2117847367049,4
304437bad7ff,19.247344238790408,0
11f3dc041cfb,19.256223931178308,1
b98c63cd6102,19.286528936392074,2
0d1a9caf4350,19.29923748696559,3
d3d0d2662918,19.513042557351408,4
c87688f6960e,19.59691084462982,0
df642435a951,19.651248044838372,1
a4551c5409e3,19.69377281021898,2
1aba91a601c6,19.763343978102192,3
6ba36af67cb0,19.778089155370175,4
1258cf954183,19.900164559436913,0
9dfaeb835626,19.991201772679876,1
5fb012d30fd9,20.01999967413973,2
ad5a6a058944,20.08566051876955,3
28109f18d9d4,20.120446102711156,4
90fdd8932877,20.228550247653807,0
293a0fa72e5b,20.236737486965588,1
768f299c36e1,20.247450143378522,2
c24b8293eceb,20.29250032586027,3
843763f47895,20.326837851929092,4
c52b272a5329,20.34777437434828,0
0789bed99cb8,20.349892466110532,1
4856fcb85be0,20.38590002606882,2
b38c4e132183,20.484635688216894,3
6343156803f9,20.504676094890513,4
5d95d80e10a9,20.524227711157454,0
d0dab700c896,20.52679386079249,1
a7b9e343cf6b,20.544553245568302,2
2f39abb12388,20.549644812304486,3
1e89e1af42e7,20.554084658498436,4
dd47eb7ac4ee,20.65261665797706,0
9c2e82c23803,20.671190693430656,1
42415ff65013,20.702188151720545,2
be86e79f1225,20.7711890641293,3
0cdf5b5d0ce1,20.794691736183523,4
87e334269396,20.855790537017725,0
a070dbb32d2b,20.865403415015642,1
7ac210ba75a1,20.869761796141812,2
3071362591f7,20.894404979144944,3
56023a17481b,20.896400873305527,4
1adaeb44f109,20.925524635036496,0
ddb513df9406,20.92980155109489,1
e2230d0ceb02,20.94063640510949,2
fa613ac8eac5,20.942510101668404,3
feaf59172a01,21.012162734619395,4
78f63d808555,21.016317453076123,0
b63a6f7952d4,21.03232533889468,1
8d78483ce302,21.04715198123045,2
316bbfd3d93d,21.088617700729927,3
7bd1142155ae,21.102018704379564,4
6bf969856536,21.12136665797706,0
2cb91c2543fa,21.153911952554743,1
b24fd9084449,21.195988660062564,2
e5fc2c1c4a8b,21.205397875391032,3
695f39dfac16,21.20572373566215,4
